epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1708.04,0.42416,0.33858,0.843,0.97105,0.91209,0.93647,0.84597,0.46128,0.41501,0.86997,0.000410059,0.000410059,0.000410059
61,1736.77,0.43639,0.33855,0.84589,0.98574,0.89454,0.93139,0.84754,0.44878,0.41116,0.85961,0.00040006,0.00040006,0.00040006
62,1769.98,0.40955,0.34096,0.8455,0.97779,0.89191,0.9292,0.84452,0.42848,0.37767,0.86269,0.000390061,0.000390061,0.000390061
63,1798.32,0.40705,0.31971,0.84777,0.98508,0.89375,0.93386,0.84904,0.4301,0.36348,0.86829,0.000380062,0.000380062,0.000380062
64,1826.61,0.39867,0.31959,0.84555,0.96807,0.89383,0.93471,0.85477,0.41446,0.35259,0.85932,0.000370063,0.000370063,0.000370063
65,1855.13,0.39667,0.31988,0.84008,0.97956,0.90372,0.93792,0.8552,0.42163,0.36836,0.85496,0.000360064,0.000360064,0.000360064
66,1905.28,0.38399,0.30971,0.83389,0.96288,0.90833,0.93117,0.85938,0.40507,0.38314,0.84805,0.000350065,0.000350065,0.000350065
67,1932.99,0.39501,0.30669,0.84124,0.98276,0.90094,0.93418,0.85827,0.42209,0.36916,0.85794,0.000340066,0.000340066,0.000340066
68,1960.65,0.3844,0.2987,0.83383,0.96411,0.91291,0.92623,0.859,0.43368,0.38369,0.85825,0.000330067,0.000330067,0.000330067
69,1988.21,0.38271,0.30064,0.82872,0.97507,0.89555,0.92987,0.86297,0.41589,0.39145,0.85838,0.000320068,0.000320068,0.000320068
70,2015.98,0.36799,0.29638,0.83096,0.98306,0.8948,0.93531,0.86269,0.42487,0.37337,0.86163,0.000310069,0.000310069,0.000310069
71,2044.04,0.37562,0.29765,0.82446,0.97551,0.91709,0.93543,0.86605,0.4153,0.35439,0.85912,0.00030007,0.00030007,0.00030007
72,2072.07,0.3837,0.3007,0.82362,0.96749,0.89902,0.93033,0.85073,0.42408,0.36726,0.86107,0.000290071,0.000290071,0.000290071
73,2099.89,0.36497,0.28656,0.81084,0.9789,0.90086,0.93586,0.85751,0.41985,0.36376,0.86122,0.000280072,0.000280072,0.000280072
74,2127.48,0.36296,0.28563,0.82667,0.96125,0.90256,0.93087,0.85411,0.43425,0.38959,0.87559,0.000270073,0.000270073,0.000270073
75,2155.09,0.35882,0.27564,0.82586,0.97783,0.90399,0.94106,0.86541,0.41333,0.36692,0.86402,0.000260074,0.000260074,0.000260074
76,2182.88,0.35134,0.27769,0.82312,0.97104,0.91799,0.93416,0.86516,0.41505,0.34745,0.85762,0.000250075,0.000250075,0.000250075
77,2210.94,0.35294,0.27862,0.82451,0.98387,0.90165,0.93781,0.87171,0.40155,0.34264,0.85844,0.000240076,0.000240076,0.000240076
